groups,transport,battery,relay,component,gap,units,cv,A_uav,B_uav,C_uav,A_battery,B_battery,C_battery,R_uav,R_component
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014;S015 | S006;S008 | S012,12,17,6,7,12,42,0.7960618846181173,4,5,3,6,6,5,6,7
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014;S015 | S006;S012 | S008,12,17,6,7,12,42,0.7936172563202437,4,5,3,6,6,5,6,7
S001;S002;S003;S004;S005;S007;S011 | S006 | S008;S009;S010;S012;S013;S014;S015,14,17,4,6,11,41,0.6698845079535609,7,4,3,7,5,5,4,6
S001;S002;S003;S004;S005;S007;S011 | S006;S008 | S009;S010;S012;S013;S014;S015,15,18,6,8,17,47,0.40740015442900485,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011 | S006;S008;S009;S010;S012;S013;S014 | S015,15,17,6,8,16,46,0.4516618409664786,7,5,3,7,5,5,6,8
S001;S002;S003;S004;S005;S007;S011 | S006;S008;S009;S010;S013;S014 | S012;S015,15,18,6,9,18,48,0.34236263665618616,7,5,3,7,6,5,6,9
S001;S002;S003;S004;S005;S007;S011 | S006;S008;S009;S010;S013;S014;S015 | S012,15,18,6,8,17,47,0.48176931611999163,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011 | S006;S008;S012 | S009;S010;S013;S014;S015,15,17,6,9,17,47,0.26288119691658673,7,5,3,7,5,5,6,9
S001;S002;S003;S004;S005;S007;S011 | S006;S008;S012;S015 | S009;S010;S013;S014,14,17,6,9,16,46,0.2591834229597279,7,4,3,7,5,5,6,9
S001;S002;S003;S004;S005;S007;S011 | S006;S008;S015 | S009;S010;S012;S013;S014,15,18,6,9,18,48,0.3109777522692268,7,5,3,7,6,5,6,9
S001;S002;S003;S004;S005;S007;S011 | S006;S009;S010;S012;S013;S014 | S008;S015,15,18,6,9,18,48,0.3276210504111726,7,5,3,7,6,5,6,9
S001;S002;S003;S004;S005;S007;S011 | S006;S009;S010;S012;S013;S014;S015 | S008,15,18,6,8,17,47,0.43441650304276397,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011 | S006;S009;S010;S013;S014 | S008;S012;S015,14,17,6,9,16,46,0.26081010202873783,7,4,3,7,5,5,6,9
S001;S002;S003;S004;S005;S007;S011 | S006;S009;S010;S013;S014;S015 | S008;S012,15,17,6,9,17,47,0.27356458625358027,7,5,3,7,5,5,6,9
S001;S002;S003;S004;S005;S007;S011 | S006;S012 | S008;S009;S010;S013;S014;S015,15,18,6,8,17,47,0.44835247169242415,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011 | S006;S012;S015 | S008;S009;S010;S013;S014,15,18,6,9,18,48,0.31599034450391644,7,5,3,7,6,5,6,9
S001;S002;S003;S004;S005;S007;S011 | S006;S015 | S008;S009;S010;S012;S013;S014,15,17,6,8,16,46,0.41902689225798356,7,5,3,7,5,5,6,8
S001;S002;S003;S004;S005;S007;S011;S012 | S006 | S008;S009;S010;S013;S014;S015,14,18,4,6,12,42,0.6824468398173703,7,4,3,7,6,5,4,6
S001;S002;S003;S004;S005;S007;S011;S012 | S006;S008 | S009;S010;S013;S014;S015,15,18,6,8,17,47,0.4414290945175394,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S012 | S006;S008;S009;S010;S013;S014 | S015,15,18,6,8,17,47,0.46763378754580576,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S012 | S006;S008;S015 | S009;S010;S013;S014,14,18,6,9,17,47,0.3560849502289079,7,4,3,7,6,5,6,9
S001;S002;S003;S004;S005;S007;S011;S012 | S006;S009;S010;S013;S014 | S008;S015,14,18,6,9,17,47,0.3669082865631454,7,4,3,7,6,5,6,9
S001;S002;S003;S004;S005;S007;S011;S012 | S006;S009;S010;S013;S014;S015 | S008,15,18,6,8,17,47,0.4631748705808964,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S012 | S006;S015 | S008;S009;S010;S013;S014,15,18,6,8,17,47,0.43939693717811845,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S012;S015 | S006 | S008;S009;S010;S013;S014,14,18,4,6,12,42,0.7004264908369072,7,4,3,7,6,5,4,6
S001;S002;S003;S004;S005;S007;S011;S012;S015 | S006;S008 | S009;S010;S013;S014,14,18,6,8,16,46,0.4794596849682526,7,4,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S012;S015 | S006;S009;S010;S013;S014 | S008,14,18,6,8,16,46,0.49665954731768447,7,4,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S015 | S006 | S008;S009;S010;S012;S013;S014,14,17,4,6,11,41,0.6814712034585727,7,4,3,7,5,5,4,6
S001;S002;S003;S004;S005;S007;S011;S015 | S006;S008 | S009;S010;S012;S013;S014,15,18,6,8,17,47,0.43912154004889425,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S015 | S006;S008;S009;S010;S013;S014 | S012,15,18,6,8,17,47,0.49636639659682885,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S015 | S006;S008;S012 | S009;S010;S013;S014,14,17,6,9,16,46,0.30874789703012573,7,4,3,7,5,5,6,9
S001;S002;S003;S004;S005;S007;S011;S015 | S006;S009;S010;S012;S013;S014 | S008,15,18,6,8,17,47,0.46118146146927397,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S007;S011;S015 | S006;S009;S010;S013;S014 | S008;S012,14,17,6,9,16,46,0.3140282229226896,7,4,3,7,5,5,6,9
S001;S002;S003;S004;S005;S007;S011;S015 | S006;S012 | S008;S009;S010;S013;S014,15,18,6,8,17,47,0.4669301152416846,7,5,3,7,6,5,6,8
S001;S002;S003;S006;S007;S008;S009;S010;S011;S012;S013;S014 | S004;S005 | S015,10,15,6,8,9,39,0.7300893109680321,4,3,3,6,4,5,6,8
S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014 | S004;S005 | S012;S015,10,16,6,9,11,41,0.6168896882081731,4,3,3,6,5,5,6,9
S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S012 | S015,11,16,6,8,11,41,0.6363237076863673,4,4,3,6,5,5,6,8
S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S015 | S012,11,16,6,8,11,41,0.7075519457066834,4,4,3,6,5,5,6,8
S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014;S015 | S004;S005 | S012,10,16,6,8,10,40,0.7559195383251234,4,3,3,6,5,5,6,8
S001;S002;S003;S006;S007;S008;S011 | S004;S005 | S009;S010;S012;S013;S014;S015,13,17,6,9,15,45,0.3628429416031545,7,3,3,7,5,5,6,9
S001;S002;S003;S006;S007;S008;S011 | S004;S005;S009;S010;S012;S013;S014 | S015,14,17,6,8,15,45,0.4579122958177897,7,4,3,7,5,5,6,8
S001;S002;S003;S006;S007;S008;S011 | S004;S005;S009;S010;S013;S014 | S012;S015,13,17,6,9,15,45,0.35237372616506746,7,3,3,7,5,5,6,9
S001;S002;S003;S006;S007;S008;S011 | S004;S005;S009;S010;S013;S014;S015 | S012,14,17,6,8,15,45,0.48796358370865356,7,4,3,7,5,5,6,8
S001;S002;S003;S006;S007;S008;S011 | S004;S005;S012 | S009;S010;S013;S014;S015,14,17,6,9,16,46,0.2889552488999943,7,4,3,7,5,5,6,9
