gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
18,48,0.23919378190451063,9,S001;S002;S003;S006;S007;S011;S015 | S004;S005;S008 | S009;S010;S012;S013;S014,7,5,3,7,6,5,6,9
18,48,0.17965045782904693,9,S001;S002;S003;S006;S007;S011 | S004;S005;S008;S015 | S009;S010;S012;S013;S014,7,5,3,7,6,5,6,9
18,48,0.20483345302606507,9,S001;S002;S003;S006;S007;S011 | S004;S005;S008 | S009;S010;S012;S013;S014;S015,7,5,3,7,6,5,6,9
12,42,0.6658929186198618,8,S001;S002;S003;S006;S007;S009;S010;S011;S012;S013;S014;S015 | S004;S005 | S008,4,4,3,6,6,5,6,8
13,43,0.6148321900101702,8,S001;S002;S003;S006;S007;S009;S010;S011;S012;S013;S014 | S004;S005;S015 | S008,4,5,3,6,6,5,6,8
13,43,0.5460388703633884,9,S001;S002;S003;S006;S007;S009;S010;S011;S012;S013;S014 | S004;S005 | S008;S015,4,4,3,6,6,5,6,9
13,43,0.5704003726664731,9,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014;S015 | S004;S005;S012 | S008,4,5,3,6,6,5,6,8
13,43,0.5283801697985544,9,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005;S012;S015 | S008,4,5,3,6,6,5,6,8
14,44,0.4472486000055974,10,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005;S012 | S008;S015,4,5,3,6,6,5,6,9
12,42,0.49983787911090455,10,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014;S015 | S004;S005 | S008;S012,4,4,3,6,5,5,6,9
13,43,0.44553936296655794,10,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005;S015 | S008;S012,4,5,3,6,5,5,6,9
12,42,0.45471212017799145,10,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005 | S008;S012;S015,4,4,3,6,5,5,6,9
16,46,0.4178854962616356,9,S001;S002;S003;S006;S007;S011;S012;S015 | S004;S005;S009;S010;S013;S014 | S008,7,4,3,7,6,5,6,8
17,47,0.4058255253321538,9,S001;S002;S003;S006;S007;S011;S012 | S004;S005;S009;S010;S013;S014;S015 | S008,7,5,3,7,6,5,6,8
17,47,0.28107908845769003,10,S001;S002;S003;S006;S007;S011;S012 | S004;S005;S009;S010;S013;S014 | S008;S015,7,4,3,7,6,5,6,9
17,47,0.40535192006837245,9,S001;S002;S003;S006;S007;S011;S015 | S004;S005;S009;S010;S012;S013;S014 | S008,7,5,3,7,6,5,6,8
17,47,0.4031691345397697,9,S001;S002;S003;S006;S007;S011 | S004;S005;S009;S010;S012;S013;S014;S015 | S008,7,5,3,7,6,5,6,8
18,48,0.2707700482696712,10,S001;S002;S003;S006;S007;S011 | S004;S005;S009;S010;S012;S013;S014 | S008;S015,7,5,3,7,6,5,6,9
16,46,0.2181441418264924,11,S001;S002;S003;S006;S007;S011;S015 | S004;S005;S009;S010;S013;S014 | S008;S012,7,4,3,7,5,5,6,9
17,47,0.20646948883004385,11,S001;S002;S003;S006;S007;S011 | S004;S005;S009;S010;S013;S014;S015 | S008;S012,7,5,3,7,5,5,6,9
16,46,0.1624946574927352,11,S001;S002;S003;S006;S007;S011 | S004;S005;S009;S010;S013;S014 | S008;S012;S015,7,4,3,7,5,5,6,9
17,47,0.32840040275289656,10,S001;S002;S003;S006;S007;S011;S012;S015 | S004;S005 | S008;S009;S010;S013;S014,7,4,3,7,6,5,6,9
18,48,0.27027773363258406,10,S001;S002;S003;S006;S007;S011;S012 | S004;S005;S015 | S008;S009;S010;S013;S014,7,5,3,7,6,5,6,9
17,47,0.31279969915654693,10,S001;S002;S003;S006;S007;S011;S012 | S004;S005 | S008;S009;S010;S013;S014;S015,7,4,3,7,6,5,6,9
18,48,0.20850357962242605,11,S001;S002;S003;S006;S007;S011;S015 | S004;S005;S012 | S008;S009;S010;S013;S014,7,5,3,7,6,5,6,9
18,48,0.1521889804893983,11,S001;S002;S003;S006;S007;S011 | S004;S005;S012;S015 | S008;S009;S010;S013;S014,7,5,3,7,6,5,6,9
18,48,0.194026879460851,11,S001;S002;S003;S006;S007;S011 | S004;S005;S012 | S008;S009;S010;S013;S014;S015,7,5,3,7,6,5,6,9
16,46,0.31214018032729546,10,S001;S002;S003;S006;S007;S011;S015 | S004;S005 | S008;S009;S010;S012;S013;S014,7,4,3,7,5,5,6,9
17,47,0.2576091475577046,10,S001;S002;S003;S006;S007;S011 | S004;S005;S015 | S008;S009;S010;S012;S013;S014,7,5,3,7,5,5,6,9
16,46,0.3080321791008477,10,S001;S002;S003;S006;S007;S011 | S004;S005 | S008;S009;S010;S012;S013;S014;S015,7,4,3,7,5,5,6,9
7,37,0.6934311677433246,9,S001;S002;S003;S007;S008;S009;S010;S011;S012;S013;S014 | S004;S005;S006 | S015,4,3,2,6,4,4,6,8
9,39,0.6052321117142061,10,S001;S002;S003;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S006;S012 | S015,4,4,2,6,5,4,6,8
8,38,0.7193432070689327,9,S001;S002;S003;S007;S008;S009;S010;S011;S013;S014;S015 | S004;S005;S006 | S012,4,3,2,6,5,4,6,8
9,39,0.6727303239080733,9,S001;S002;S003;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S006;S015 | S012,4,4,2,6,5,4,6,8
9,39,0.5788235000061854,10,S001;S002;S003;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S006 | S012;S015,4,3,2,6,5,4,6,9
11,41,0.46286403626241124,10,S001;S002;S003;S007;S008;S011;S012 | S004;S005;S006;S009;S010;S013;S014 | S015,7,3,2,7,4,4,6,8
13,43,0.44895129616000606,10,S001;S002;S003;S007;S008;S011 | S004;S005;S006;S009;S010;S012;S013;S014 | S015,7,4,2,7,5,4,6,8
12,42,0.49177647255854595,10,S001;S002;S003;S007;S008;S011;S015 | S004;S005;S006;S009;S010;S013;S014 | S012,7,3,2,7,5,4,6,8
13,43,0.4790701162881545,10,S001;S002;S003;S007;S008;S011 | S004;S005;S006;S009;S010;S013;S014;S015 | S012,7,4,2,7,5,4,6,8
13,43,0.3376656559715818,11,S001;S002;S003;S007;S008;S011 | S004;S005;S006;S009;S010;S013;S014 | S012;S015,7,3,2,7,5,4,6,9
11,41,0.3971966969168502,10,S001;S002;S003;S007;S008;S011;S012;S015 | S004;S005;S006 | S009;S010;S013;S014,7,2,2,7,4,4,6,9
12,42,0.3411786158591697,10,S001;S002;S003;S007;S008;S011;S012 | S004;S005;S006;S015 | S009;S010;S013;S014,7,3,2,7,4,4,6,9
12,42,0.3560050038258792,10,S001;S002;S003;S007;S008;S011;S012 | S004;S005;S006 | S009;S010;S013;S014;S015,7,3,2,7,4,4,6,9
13,43,0.2952083404997969,11,S001;S002;S003;S007;S008;S011;S015 | S004;S005;S006;S012 | S009;S010;S013;S014,7,3,2,7,5,4,6,9
13,43,0.24645271159065227,11,S001;S002;S003;S007;S008;S011 | S004;S005;S006;S012;S015 | S009;S010;S013;S014,7,3,2,7,5,4,6,9
14,44,0.24859469028719966,11,S001;S002;S003;S007;S008;S011 | S004;S005;S006;S012 | S009;S010;S013;S014;S015,7,4,2,7,5,4,6,9
13,43,0.35347797692517796,10,S001;S002;S003;S007;S008;S011;S015 | S004;S005;S006 | S009;S010;S012;S013;S014,7,3,2,7,5,4,6,9
