gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
13,43,0.1113069202492208,6,S001;S002;S006;S009;S010;S012;S013;S014;S015 | S003;S004;S005;S007;S008;S011,6,4,4,7,6,6,4,6
14,44,0.053322696947821976,6,S001;S002;S006;S009;S010;S012;S013;S014 | S003;S004;S005;S007;S008;S011;S015,6,4,4,7,7,6,4,6
11,41,0.0040204127419627405,7,S001;S002;S006;S009;S010;S013;S014;S015 | S003;S004;S005;S007;S008;S011;S012,6,3,4,7,5,6,4,6
12,42,0.0514503312544387,7,S001;S002;S006;S009;S010;S013;S014 | S003;S004;S005;S007;S008;S011;S012;S015,6,3,4,7,6,6,4,6
12,42,0.25820128639077616,7,S001;S002;S006;S012;S015 | S003;S004;S005;S007;S008;S009;S010;S011;S013;S014,5,4,4,7,6,6,4,6
13,43,0.31367203038717745,7,S001;S002;S006;S012 | S003;S004;S005;S007;S008;S009;S010;S011;S013;S014;S015,5,4,4,7,7,6,4,6
10,40,0.317315260293028,7,S001;S002;S006;S015 | S003;S004;S005;S007;S008;S009;S010;S011;S012;S013;S014,5,3,4,7,5,6,4,6
11,41,0.37278600428942926,7,S001;S002;S006 | S003;S004;S005;S007;S008;S009;S010;S011;S012;S013;S014;S015,5,3,4,7,6,6,4,6
8,38,0.22070629952788842,7,S001;S002;S008;S009;S010;S012;S013;S014;S015 | S003;S004;S005;S006;S007;S011,6,3,3,7,4,5,4,6
10,40,0.16469674782276444,7,S001;S002;S008;S009;S010;S012;S013;S014 | S003;S004;S005;S006;S007;S011;S015,6,4,3,7,5,5,4,6
9,39,0.1123327783049547,8,S001;S002;S008;S009;S010;S013;S014;S015 | S003;S004;S005;S006;S007;S011;S012,6,3,3,7,5,5,4,6
10,40,0.05867189338333074,8,S001;S002;S008;S009;S010;S013;S014 | S003;S004;S005;S006;S007;S011;S012;S015,6,4,3,7,5,5,4,6
7,37,0.14133334202015663,8,S001;S002;S008;S012;S015 | S003;S004;S005;S006;S007;S009;S010;S011;S013;S014,5,3,3,7,4,5,4,6
9,39,0.19499422694178056,8,S001;S002;S008;S012 | S003;S004;S005;S006;S007;S009;S010;S011;S013;S014;S015,5,4,3,7,5,5,4,6
8,38,0.1985185881930655,8,S001;S002;S008;S015 | S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014,5,3,3,7,5,5,4,6
9,39,0.25217947311468936,8,S001;S002;S008 | S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014;S015,5,4,3,7,5,5,4,6
11,41,0.06770400036548375,6,S001;S002;S009;S010;S012;S013;S014;S015 | S003;S004;S005;S006;S007;S008;S011,6,4,3,7,6,5,4,6
12,42,0.009719777064085054,6,S001;S002;S009;S010;S012;S013;S014 | S003;S004;S005;S006;S007;S008;S011;S015,6,4,3,7,7,5,4,6
9,39,0.037692423416834805,7,S001;S002;S009;S010;S013;S014;S015 | S003;S004;S005;S006;S007;S008;S011;S012,6,3,3,7,5,5,4,6
10,40,0.09316316741323609,7,S001;S002;S009;S010;S013;S014 | S003;S004;S005;S006;S007;S008;S011;S012;S015,6,3,3,7,6,5,4,6
10,40,0.2999141225495736,7,S001;S002;S012;S015 | S003;S004;S005;S006;S007;S008;S009;S010;S011;S013;S014,5,4,3,7,6,5,4,6
11,41,0.355384866545975,7,S001;S002;S012 | S003;S004;S005;S006;S007;S008;S009;S010;S011;S013;S014;S015,5,4,3,7,7,5,4,6
8,38,0.3590280964518253,7,S001;S002;S015 | S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014,5,3,3,7,5,5,4,6
9,39,0.41449884044822677,7,S001;S002 | S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015,5,3,3,7,6,5,4,6
