K,group,route,t0_s,t1_s,q3_provider,relay_task,local_provider,margin_dB
3,2,1,3479.69568037128,3534.18673872089,R01,Q3-R03,K3-G2-R01,3.61938804937449
3,2,1,3534.18673872089,3912.05845262213,R01,Q3-R03,K3-G2-R01,2.49346836753311
3,2,1,3912.05845262213,4065.76772264166,G01,,G01,20.2529737910729
3,2,3,376.761406709938,531.510535941709,G01,,G01,18.6107857926076
3,2,3,531.510535941709,718.826061535051,G01,,G01,3.66235714345244
3,2,3,718.826061535051,983.144024126076,R01,Q3-R01,K3-G2-R01,4.97184543021159
3,2,3,983.144024126076,1079.5229792042,R01,Q3-R01,K3-G2-R01,9.16086784080879
3,2,3,1079.5229792042,1289.5229792042,R01,Q3-R01,K3-G2-R01,10.4128605785245
3,2,3,1289.5229792042,1351.71083524261,R01,Q3-R01,K3-G2-R01,9.48486424029969
3,2,3,1351.71083524261,1497.81010218174,R01,Q3-R01,K3-G2-R01,0.876612483215325
3,2,3,1497.81010218174,1572.19552942783,R01,Q3-R01,K3-G2-R01,3.39306804205241
3,2,3,1572.19552942783,1675.54702248065,R01,Q3-R01,K3-G2-R01,3.93530081681283
3,2,3,1675.54702248065,1752.19552942783,R01,Q3-R01,K3-G2-R01,3.93530081681283
3,2,3,1752.19552942783,1773.20666333897,R01,Q3-R01,K3-G2-R01,3.75797242098834
3,2,3,1773.20666333897,1780.20770797601,R02,Q3-R02,K3-G2-R02,0.0916164832338779
3,2,3,1780.20770797601,1792.6673299855,R02,Q3-R02,K3-G2-R02,0.0357860314744443
3,2,3,1792.6673299855,1805.12695199499,R02,Q3-R02,K3-G2-R02,0.119819475924274
3,2,3,1805.12695199499,1830.04619601397,R02,Q3-R02,K3-G2-R02,0.122391227202783
3,2,3,1830.04619601397,1879.88468405193,R02,Q3-R02,K3-G2-R02,0.0924984273137426
3,2,3,1879.88468405193,1979.56166012785,G01,,G01,0.687588329273126
3,2,3,1979.56166012785,2178.91561227968,G01,,G01,3.48210182388043
3,2,3,2178.91561227968,2302.0902265375,G01,,G01,22.1765507746816
3,2,7,672.38545286357,718.826061535051,G01,,G01,29.0653920081261
3,2,7,718.826061535051,775.030964745081,G01,,G01,22.7598396645181
3,2,7,775.030964745081,1173.73886904877,R01,Q3-R01,K3-G2-R01,0.565712286578602
3,2,7,1173.73886904877,1207.35348330658,R01,Q3-R01,K3-G2-R01,3.69737873568202
3,2,7,1207.35348330658,1417.35348330658,R01,Q3-R01,K3-G2-R01,3.93530081681283
3,2,7,1417.35348330658,1445.36566185476,R01,Q3-R01,K3-G2-R01,3.69737873568202
3,2,7,1445.36566185476,1675.54702248065,R01,Q3-R01,K3-G2-R01,4.33863923995723
3,2,7,1675.54702248065,1773.20666333897,G01,,G01,5.47010676311211
3,2,7,1773.20666333897,1844.07356615844,G01,,G01,11.4779930754727
3,2,7,1844.07356615844,1967.24818041625,G01,,G01,22.1765507746816
3,2,11,2312.25901412354,2368.1462659139,G01,,G01,27.4570949900334
3,2,11,2368.1462659139,2602.15245197061,G01,,G01,2.64660268261862
3,2,11,2602.15245197061,2635.45715411905,G01,,G01,2.84274166465613
3,2,11,2635.45715411905,2815.45715411905,G01,,G01,2.97531985376901
3,2,11,2815.45715411905,2891.14893878702,G01,,G01,2.60983234053241
3,2,11,2891.14893878702,3108.86527227216,R02,Q3-R02,K3-G2-R02,0.133721969887148
3,2,11,3108.86527227216,3127.31797849971,R01,Q3-R03,K3-G2-R01,4.00954934485762
3,2,11,3127.31797849971,3161.50263026138,R01,Q3-R03,K3-G2-R01,3.89122234247587
3,2,11,3161.50263026138,3163.58812010127,R01,Q3-R03,K3-G2-R01,4.15888273319932
